Company,Fiscal Year Ended,Head,Amount
MICROSOFT CORPORATION,30-Jun-24,Total Revenue,"2,45,122"
MICROSOFT CORPORATION,30-Jun-24,Net Income,"88,136"
MICROSOFT CORPORATION,30-Jun-24,Total Assets,"5,12,163"
MICROSOFT CORPORATION,30-Jun-24,Total Liabilities,"2,43,686"
MICROSOFT CORPORATION,30-Jun-24,Cash Flow from Operating Activities,"1,18,548"
MICROSOFT CORPORATION,30-Jun-23,Total Revenue,"2,11,915"
MICROSOFT CORPORATION,30-Jun-23,Net Income,"72,361"
MICROSOFT CORPORATION,30-Jun-23,Total Assets,"4,11,976"
MICROSOFT CORPORATION,30-Jun-23,Total Liabilities,"2,05,753"
MICROSOFT CORPORATION,30-Jun-23,Cash Flow from Operating Activities,"87,582"
MICROSOFT CORPORATION,30-Jun-22,Total Revenue,"1,98,270"
MICROSOFT CORPORATION,30-Jun-22,Net Income,"72,738"
MICROSOFT CORPORATION,30-Jun-22,Total Assets,"3,64,840"
MICROSOFT CORPORATION,30-Jun-22,Total Liabilities,"1,98,298"
MICROSOFT CORPORATION,30-Jun-22,Cash Flow from Operating Activities,"89,035"
"Tesla, Inc.",31-Dec-23,Total Revenue,"96,773"
"Tesla, Inc.",31-Dec-23,Net Income,"14,974"
"Tesla, Inc.",31-Dec-23,Total Assets,"1,06,618"
"Tesla, Inc.",31-Dec-23,Total Liabilities,"43,009"
"Tesla, Inc.",31-Dec-23,Cash Flow from Operating Activities,"13,256"
"Tesla, Inc.",31-Dec-22,Total Revenue,"81,462"
"Tesla, Inc.",31-Dec-22,Net Income,"12,587"
"Tesla, Inc.",31-Dec-22,Total Assets,"82,338"
"Tesla, Inc.",31-Dec-22,Total Liabilities,"36,440"
"Tesla, Inc.",31-Dec-22,Cash Flow from Operating Activities,"14,724"
"Tesla, Inc.",31-Dec-21,Total Revenue,"53,823"
"Tesla, Inc.",31-Dec-21,Net Income,"5,644"
"Tesla, Inc.",31-Dec-21,Total Assets,"62,131"
"Tesla, Inc.",31-Dec-21,Total Liabilities,"30,548"
"Tesla, Inc.",31-Dec-21,Cash Flow from Operating Activities,"11,497"
Apple Inc.,28-Sep-24,Total Revenue,"3,91,035"
Apple Inc.,28-Sep-24,Net Income,"93,736"
Apple Inc.,28-Sep-24,Total Assets,"3,64,980"
Apple Inc.,28-Sep-24,Total Liabilities,"3,08,030"
Apple Inc.,28-Sep-24,Cash Flow from Operating Activities,"1,18,254"
Apple Inc.,30-Sep-23,Total Revenue,"3,83,285"
Apple Inc.,30-Sep-23,Net Income,"96,995"
Apple Inc.,30-Sep-23,Total Assets,"3,52,583"
Apple Inc.,30-Sep-23,Total Liabilities,"2,90,437"
Apple Inc.,30-Sep-23,Cash Flow from Operating Activities,"1,10,543"
Apple Inc.,24-Sep-22,Total Revenue,"3,94,328"
Apple Inc.,24-Sep-22,Net Income,"99,803"
Apple Inc.,24-Sep-22,Total Assets,"3,52,755"
Apple Inc.,24-Sep-22,Total Liabilities,"3,02,083"
Apple Inc.,24-Sep-22,Cash Flow from Operating Activities,"1,22,151"
